rank,Youtuber,subscribers,video.views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,created_year,created_month,created_date,Gross.tertiary.education.enrollment....,Population,Unemployment.rate,Urban_population,Latitude,Longitude
25,ChuChu TV Nursery Rhymes & Kids Songs,65900000,45757850229,Education,ChuChu TV Nursery Rhymes & Kids Songs,633,India,IN,Education,18,7,3,420292000,105100,1700000,1300000,20200000,5.00E+05,2013,Feb,9,28.1,1366417754,5.36,471031528,20.593684,78.96288
26,Shemaroo Filmi Gaane,65600000,28648024439,Music,Shemaroo Filmi Gaane,8502,India,IN,Music,47,8,8,254961000,63700,1000000,764900,12200000,4.00E+05,2010,Jun,11,28.1,1366417754,5.36,471031528,20.593684,78.96288
27,Colors TV,64600000,61510906457,Shows,Colors TV,112915,India,IN,Entertainment,10,9,9,1.19E+09,296900,4800000,3600000,57000000,1100000,2008,Jun,13,28.1,1366417754,5.36,471031528,20.593684,78.96288
29,Dude Perfect,59500000,16241549158,Sports,Dude Perfect,389,United States of America,US,Sports,182,9,3,141200000,35300,564800,423600,6800000,1.00E+05,2009,Mar,17,88.2,328239523,14.7,270663028,37.09024,-95.712891
30,Movieclips,59500000,59316472754,Film & Animation,Movieclips,39113,United States of America,US,Film,11,9,3,114668000,28700,458700,344000,5500000,1.00E+05,2006,Apr,28,88.2,328239523,14.7,270663028,37.09024,-95.712891
31,Tips Official,59300000,33431802698,Music,Tips Official,4741,India,IN,Music,30,11,10,422634000,105700,1700000,1300000,20300000,6.00E+05,2007,May,22,28.1,1366417754,5.36,471031528,20.593684,78.96288
32,El Reino Infantil,58400000,57271630846,Music,El Reino Infantil,1510,Argentina,AR,Music,13,1,11,611828000,153000,2400000,1800000,29400000,6.00E+05,2011,Jun,2,90,44938712,9.79,41339571,-38.416097,-63.616672
33,Wave Music,58000000,40602020243,Music,Wave Music,19487,India,IN,Music,21,12,12,232025000,58000,928100,696100,11100000,5.00E+05,2014,Oct,29,28.1,1366417754,5.36,471031528,20.593684,78.96288
34,Aaj Tak,57600000,25307753534,News & Politics,Aaj Tak,283775,India,IN,News,71,13,1,461148000,115300,1800000,1400000,22100000,5.00E+05,2009,Aug,27,28.1,1366417754,5.36,471031528,20.593684,78.96288
35,Sony Music India,57200000,28837144516,Music,Sony Music India,3882,India,IN,Music,45,14,13,259310000,64800,1000000,777900,12400000,3.00E+05,2009,Sep,2,28.1,1366417754,5.36,471031528,20.593684,78.96288
36,EminemMusic,56900000,27073872856,Music,EminemMusic,156,United States of America,US,Music,59,10,14,260193000,65000,1000000,780600,12500000,3.00E+05,2007,Feb,9,88.2,328239523,14.7,270663028,37.09024,-95.712891
37,Marshmello,56400000,14696003229,Entertainment,Marshmello,436,United States of America,US,Music,233,11,15,112100000,28000,448400,336300,5400000,1.00E+05,2015,Apr,6,88.2,328239523,14.7,270663028,37.09024,-95.712891
38,YRF,54600000,35302243691,Film & Animation,YRF,3707,India,IN,Music,28,15,16,512093000,128000,2000000,1500000,24600000,5.00E+05,2006,Jun,7,28.1,1366417754,5.36,471031528,20.593684,78.96288
40,Ed Sheeran,53500000,30367676736,Music,Ed Sheeran,383,United Kingdom,GB,Music,39,1,18,202720000,50700,810900,608200,9700000,1.00E+05,2006,Aug,8,60,66834405,3.85,55908316,55.378051,-3.435973
41,Infobells - Hindi,53300000,30516172739,Education,Infobells - Hindi,577,India,IN,Education,37,16,4,815949000,204000,3300000,2400000,39200000,1600000,2014,Jun,6,28.1,1366417754,5.36,471031528,20.593684,78.96288
42,Taylor Swift,52900000,29884657286,Music,Taylor Swift,216,United States of America,US,Music,40,13,19,528392000,132100,2100000,1600000,25400000,8.00E+05,2006,Sep,20,88.2,328239523,14.7,270663028,37.09024,-95.712891
43,Ariana Grande,52700000,24004842608,Music,Ariana Grande,147,United States of America,US,Music,78,14,20,160216000,40100,640900,480600,7700000,1.00E+05,2007,Jan,22,88.2,328239523,14.7,270663028,37.09024,-95.712891
44,BillionSurpriseToys  - Nursery Rhymes & Cartoons,52200000,9877365274,Education,BillionSurpriseToys  - Nursery Rhymes & Cart�,847,United States of America,US,Education,450,15,5,266747000,66700,1100000,800200,12800000,6.00E+05,2013,Oct,25,88.2,328239523,14.7,270663028,37.09024,-95.712891
45,JuegaGerman,48100000,14631710289,Gaming,JuegaGerman,2052,Chile,CL,Games,237,1,2,66388000,16600,265600,199200,3200000,2.00E+05,2013,May,19,88.5,18952038,7.09,16610135,-35.675147,-71.542969
46,Billie Eilish,47900000,13626331061,Music,Billie Eilish,65,United States of America,US,Music,263,16,21,146862000,36700,587400,440600,7000000,2.00E+05,2013,Feb,6,88.2,328239523,14.7,270663028,37.09024,-95.712891
47,Get Movies,47500000,30788679536,Entertainment,Get Movies,3322,Russia,RU,Film,35,1,4,306540000,76600,1200000,919600,14700000,7.00E+05,2006,Dec,16,81.9,144373535,4.59,107683889,61.52401,105.318756
48,Shemaroo,47400000,22519705183,Entertainment,Shemaroo,11451,India,IN,Entertainment,97,17,10,232744000,58200,931000,698200,11200000,5.00E+05,2007,Sep,1,28.1,1366417754,5.36,471031528,20.593684,78.96288
50,SonyMusicIndiaVEVO,46600000,27286058807,Music,SonyMusicIndiaVEVO,3444,United States of America,US,Music,55,17,22,314505000,78600,1300000,943500,15100000,4.00E+05,2009,Sep,2,88.2,328239523,14.7,270663028,37.09024,-95.712891
51,A4,46300000,22936630813,Gaming,aefour,1,Cuba,CU,People,4053056,99,5359,94,0,0,0,5,10,2006,Mar,11,41.4,11333483,1.64,8739135,21.521757,-77.781167
53,Fernanfloo,46100000,10323391593,Gaming,Fernanfloo,543,El Salvador,SV,Games,419,1,3,33842000,8500,135400,101500,1600000,2.00E+05,2011,May,2,29.4,6453553,4.11,4694702,13.794185,-88.89653
54,Voot Kids,45500000,21388725229,Entertainment,Voot Kids,4660,India,IN,Entertainment,105,18,13,233988000,58500,936000,702000,11200000,4.00E+05,2016,Nov,23,28.1,1366417754,5.36,471031528,20.593684,78.96288
55,Felipe Neto,45200000,16602198273,Entertainment,Felipe Neto,4331,Brazil,BR,Entertainment,174,2,14,130359000,32600,521400,391100,6300000,2.00E+05,2006,May,16,51.3,212559417,12.08,183241641,-14.235004,-51.92528
56,Voci,44700000,7828610828,Entertainment,Voci,1558,Brazil,BR,Entertainment,681,3,15,48032000,12000,192100,144100,2300000,1.00E+05,2013,Sep,1,51.3,212559417,12.08,183241641,-14.235004,-51.92528
57,HAR PAL GEO,44600000,41139050371,Entertainment,HAR PAL GEO,100755,Pakistan,PK,Entertainment,20,1,15,1.34E+09,334300,5300000,4000000,64200000,1300000,2008,Jan,2,9,216565318,4.45,79927762,30.375321,69.345116
59,Katy Perry,44200000,25458952022,Music,Katy Perry,128,United States of America,US,Music,70,19,24,134242000,33600,537000,402700,6400000,1.00E+05,2008,Jun,1,88.2,328239523,14.7,270663028,37.09024,-95.712891
